amidars;Amidar (Scramble hardware) (1982);6.92441860463
amidaru;Amidar (Stern Electronics) (1982);6.92441860463
amigo;Amigo (1982);6.92441860463
amspdwy;American Speedway (set 1) (1987);0.00
amspdwya;American Speedway (set 2) (1987);0
androdun;Andro Dunos (NGM-049)(NGH-049) (1992);8.34
andromed;Andromeda (Japan?) (1979);0.00
angelkds;Angel Kids (Japan) (1988);6.00
anteater;Anteater (1982);5.52
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008) (1994);4.74
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044) (1992);4.19
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056) (1994);5.08
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden (1996);6.53
apb;APB - All Points Bulletin (rev 7) (1987);5.97
apb1;APB - All Points Bulletin (rev 1) (1987);5.96666666665
apb2;APB - All Points Bulletin (rev 2) (1987);5.96666666665
apb3;APB - All Points Bulletin (rev 3) (1987);5.96666666665
apb4;APB - All Points Bulletin (rev 4) (1987);5.96666666665
apb5;APB - All Points Bulletin (rev 5) (1987);5.96666666665
apb6;APB - All Points Bulletin (rev 6) (1987);5.96666666665
apbf;APB - All Points Bulletin (French) (1987);5.96666666665
apbg;APB - All Points Bulletin (German) (1987);5.96666666665
aponow;Apocaljpse Now (1982);7.29670329673
apparel;Apparel Night (Japan 860929) (1986);8.13
appoooh;Appoooh (1984);5.43
aquajack;Aqua Jack (World) (1990);8.40
aquajckj;;
aquarium;Aquarium (Japan) (1996);7.67
aquarush;Aqua Rush (Japan, AQ1/VER.A1) (1999);8.10
arabfgt;Arabian Fight (World) (1991);7.48
arabiamj;;
arabiamu;;
arabian;Arabian (1983);6.60
arabiana;Arabian (Atari) (1983);6.59999999999
arabianm;Arabian Magic (Ver 1.0O 1992/07/06) (1992);7.29
arbalest;Arbalester (1989);6.50
arcadecl;Arcade Classics (prototype) (1992);4.75
arcadia;;
archriv2;;
archrivl;Arch Rivals (rev 4.0 6/29/89) (1989);8.38
area51;Area 51 (R3000) (1996);7.02
area51mx;Area 51 / Maximum Force Duo v2.0 (1998);6.22
area88;Area 88 (Japan) (1989);8.09638554217
argus;Argus (1986);7.00
arkangc;Arkanoid (Game Corporation bootleg, set 1) (1986);8.96923076925
arkanoid;Arkanoid (World) (1986);8.97
arkarea;Ark Area (1988);6.00
arkatayt;Arkanoid (Tayto bootleg) (1986);8.96923076925
arkatour;Tournament Arkanoid (US) (1987);8.96923076925
arkbl2;;
arkbl3;;
arkbloc2;Block (Game Corporation bootleg, set 2) (1986);8.96923076925
arkblock;Block (Game Corporation bootleg, set 1) (1986);8.96923076925
arknid2j;;
arknid2u;;
arknoid2;Arkanoid - Revenge of DOH (World) (1987);8.80
arknoidj;;
arknoidu;;
arknoiuo;;
arkretrn;Arkanoid Returns (Ver 2.02J 1997/02/10) (1997);9.50
arlingtn;Arlington Horse Racing (v1.21-D) (1991);6.11
armedf;Armed Formation (1988);6.00
armora;Armor Attack (1980);7.23
armorap;Armor Attack (prototype) (1980);7.23076923077
armorar;Armor Attack (Rock-Ola) (1980);7.23076923077
armorca2;;
armorcar;Armored Car (set 1) (1981);6.47
armwar;Armored Warriors (Euro 941024) (1994);8.07
armwara;Armored Warriors (Asia 940920) (1994);8.06584362141
armwaru;Armored Warriors (USA 941024) (1994);8.06584362141
armwrest;Arm Wrestling (1985);4.90
ashnojoe;Ashita no Joe (Japan) (1990);4.88888888889
ashura;Ashura Blaster (World) (1990);7.33
ashurau;Ashura Blaster (US) (1990);7.33333333333
aso;ASO - Armored Scrum Object (1985);9.25
assault;Assault (1988);7.42
assaultj;Assault (Japan) (1988);7.41666666667
assaultp;Assault Plus (Japan) (1988);7.41666666667
astdelu1;;
astdelux;Asteroids Deluxe (rev 3) (1980);5.87
asterix;Asterix (ver EAD) (1992);8.70
asterock;Asterock (bootleg of Asteroids) (1979);4.92441430332
asteroi1;;
asteroib;;
asteroid;Asteroids (rev 4) (1979);4.92
astinvad;Astro Invader (1980);3.25
astorm;Alien Storm (World, 2 Players, FD1094 317-0154) (1990);6.89
astorm2p;;
astormbl;Alien Storm (bootleg, set 1) (1990);6.88888888889
astrass;Astra SuperStars (J 980514 V1.002) (1998);8.01
astrob;Astro Blaster (version 3) (1981);8.34
astrob1;Astro Blaster (version 1) (1981);8.33766233762
astrob2;Astro Blaster (version 2) (1981);8.33766233762
astrof;Astro Fighter (set 1) (1979);7.63
astrof2;Astro Fighter (set 2) (1979);7.62643678162
astrof3;Astro Fighter (set 3) (1979);7.62643678162
astrofl;Astro Flash (Japan) (1986);4.75
astrxeaa;;
astrxeac;;
astyanax;The Astyanax (1989);8.43
asuka;Asuka & Asuka (World) (1988);7.29
asurabld;Asura Blade - Sword of Dynasty (Japan) (1998);7.29
asylum;Asylum (prototype) (1991);0.00
atarifb;Atari Football (revision 2) (1978);5.75
atarifb1;Atari Football (revision 1) (1978);5.75
atarifb4;Atari Football (4 players) (1979);5.75
ataxx;Ataxx (set 1) (1990);2.33
ataxxa;Ataxx (set 2) (1990);2.32608695652
ataxxj;Ataxx (Japan) (1990);2.32608695652
atehate;Athena no Hatena ? (1993);0.00
atetckt2;;
atetcktl;;
atetris;Tetris (set 1) (1988);8.93
atetrisa;Tetris (set 2) (1988);8.92857142857
atetrisb;Tetris (bootleg set 1) (1988);8.92857142857
athena;Athena (1986);7.30
atlantis;Battle of Atlantis (set 1) (1981);5.76
atlants2;;
atomboy;Atomic Boy (revision B) (1985);6.84662576684
atomicp;Atomic Point (Korea) (1990);6.00
atompunk;Atomic Punk (US) (1991);8.77391304347
aurail;Aurail (set 3, US, unprotected) (1990);8.50
auraila;;
av2mj1bb;AV2Mahjong No.1 Bay Bridge no Seijo (Japan) (1991);6.00
av2mj2rg;AV2Mahjong No.2 Rouge no Kaori (Japan) (1991);10.00
avalnche;Avalanche (1978);6.59
avenger2;;
avengers;Avengers (US set 1) (1987);2.80
avengrgs;Avengers In Galactic Storm (US) (1995);3.86
avsp;Alien vs. Predator (Euro 940520) (1994);7.97
avspa;Alien vs. Predator (Asia 940520) (1994);7.96989247313
avspirit;Avenging Spirit (1991);6.94
avspj;Alien vs. Predator (Japan 940520) (1994);7.96989247313
avspu;Alien vs. Predator (USA 940520) (1994);7.96989247313
aztarac;Aztarac (1983);6.52
azurian;Azurian Attack (1982);2.00
baddudes;Bad Dudes vs. Dragonninja (US) (1988);5.65
badlands;Bad Lands (1989);7.50
bagman;Bagman (1982);7.79
bagmanmc;Bagman (bootleg on Moon Cresta hardware) (1982);7.79487179487
bagmans;Bagman (Stern Electronics, set 1) (1982);7.79487179487
bagmans2;Bagman (Stern Electronics, set 2) (1982);7.79487179487
bagnard;Le Bagnard (set 1) (1982);7.79487179487
bakatono;Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002) (1991);1.00
bakubaku;Baku Baku Animal (J 950407 V1.000) (1995);7.58
bakubrkr;Bakuretsu Breaker (1992);4.81818181818
bakuhatu;Mahjong Bakuhatsu Junjouden (Japan) (1991);0
bakutotu;Bakutotsu Kijuutei (1988);8.00
balcube;Bal Cube (1996);8.00
ballbomb;Balloon Bomber (1980);4.00
ballbros;Balloon Brothers (1992);2.00
balonfgt;Vs. Balloon Fight (set BF4 A-3) (1984);4.00
baluba;Baluba-louk no Densetsu (Japan) (1986);5.47
bananadr;Mahjong Banana Dream [BET] (Japan 891124) (1989);9.23
bandido;Bandido (1980);6.875
bang;Bang! (1998);7.00
bangball;Bang Bang Ball (v1.05) (1996);7.83
bangbead;Bang Bead (2000);9.07
bangj;Gun Gabacho (Japan) (1998);7
bankp;Bank Panic (1984);3.74
baraduka;;
baraduke;Baraduke (1985);8.5
barricad;Barricade (1976);1.69
barrier;Barrier (1979);6.90
basebal2;Baseball;3.82
batcir;Battle Circuit (Euro 970319) (1997);8.41
batcira;Battle Circuit (Asia 970319) (1997);8.41025641026
batcirj;Battle Circuit (Japan 970319) (1997);8.41025641026
batman;Batman (1991);7.21
batman2;Batman Part 2 (1981);8.2607003891
batmanfr;Batman Forever (JUE 960507 V1.000) (1996);7.38
batrider;Armed Police Batrider (Europe) (Fri Feb 13 1998) (1998);9.01
batridra;;
batridrk;;
batsugun;Batsugun (1993);8.93
